iter	Passed	Remaining
405	5979	8748
406	5990	8728
407	6001	8707
408	6011	8686
409	6022	8667
410	6035	8648
411	6044	8626
412	6055	8607
413	6067	8588
414	6079	8570
415	6091	8552
416	6103	8532
417	6114	8513
418	6124	8492
419	6135	8473
420	6146	8453
421	6156	8432
422	6167	8412
423	6178	8393
424	6192	8378
425	6207	8363
426	6221	8348
427	6236	8334
428	6256	8327
429	6273	8315
430	6288	8301
431	6303	8287
432	6318	8273
433	6333	8260
434	6346	8243
435	6356	8223
436	6367	8203
437	6378	8184
438	6388	8163
439	6399	8144
440	6412	8127
441	6422	8108
442	6432	8088
443	6443	8069
444	6454	8049
445	6468	8035
446	6483	8020
447	6497	8006
448	6511	7991
449	6526	7976
450	6543	7965
451	6557	7950
452	6572	7935
453	6586	7920
454	6599	7905
455	6614	7890
456	6625	7872
457	6636	7853
458	6646	7833
459	6661	7819
460	6680	7811
461	6697	7798
462	6719	7793
463	6734	7780
464	6752	7769
465	6769	7757
466	6784	7743
467	6795	7724
468	6808	7709
469	6819	7690
470	6829	7670
471	6840	7652
472	6851	7633
473	6861	7614
474	6873	7596
475	6883	7578
476	6894	7559
477	6905	7541
478	6916	7522
479	6929	7507
480	6943	7492
481	6957	7477
482	6974	7465
483	6988	7450
484	7003	7436
485	7017	7421
486	7032	7407
487	7048	7395
488	7063	7381
489	7083	7372
490	7093	7353
491	7103	7334
492	7117	7320
493	7132	7305
494	7146	7291
495	7161	7277
496	7176	7263
497	7190	7248
498	7204	7233
499	7219	7219
500	7233	7204
501	7248	7190
502	7263	7177
503	7274	7158
504	7284	7140
505	7295	7122
506	7305	7104
507	7316	7085
508	7328	7069
509	7341	7053
510	7353	7036
511	7365	7020
512	7378	7004
513	7391	6988
514	7402	6971
515	7414	6954
516	7427	6938
517	7439	6922
518	7450	6904
519	7463	6889
520	7480	6877
521	7493	6861
522	7505	6845
523	7517	6828
524	7530	6813
525	7542	6797
526	7556	6782
527	7567	6764
528	7580	6749
529	7595	6735
530	7610	6722
531	7627	6710
532	7641	6695
533	7654	6679
534	7665	6662
535	7677	6646
536	7689	6630
537	7701	6613
538	7712	6596
539	7725	6581
540	7741	6568
541	7758	6555
542	7775	6543
543	7792	6531
544	7809	6519
545	7826	6507
546	7849	6500
547	7873	6493
548	7900	6490
549	7919	6479
550	7937	6468
551	7953	6455
552	7970	6442
553	7988	6431
554	8008	6421
555	8024	6408
556	8044	6397
557	8064	6387
558	8089	6382
559	8124	6383
560	8146	6374
561	8162	6361
562	8175	6345
563	8187	6329
564	8199	6313
565	8211	6296
566	8223	6279
567	8234	6263
568	8248	6248
569	8260	6231
570	8272	6215
571	8284	6198
572	8296	6182
573	8313	6170
574	8326	6154
575	8342	6140
576	8359	6128
577	8374	6114
578	8391	6101
579	8409	6089
580	8427	6077
581	8444	6064
582	8461	6052
583	8480	6040
584	8498	6028
585	8510	6012
586	8522	5996
587	8534	5979
588	8546	5963
589	8558	5947
590	8568	5930
591	8582	5915
592	8595	5899
593	8607	5883
594	8621	5868
595	8632	5851
596	8645	5836
597	8657	5819
598	8674	5807
599	8692	5795
600	8708	5781
601	8730	5772
602	8755	5764
603	8778	5755
604	8802	5747
605	8823	5736
606	8839	5723
607	8856	5710
608	8875	5698
609	8892	5685
610	8903	5668
611	8915	5652
612	8927	5636
613	8939	5620
614	8951	5603
615	8965	5588
616	8980	5574
617	8994	5559
618	9008	5544
619	9022	5530
620	9035	5514
621	9046	5497
622	9058	5481
623	9070	5465
624	9081	5448
625	9091	5431
626	9102	5415
627	9112	5398
628	9123	5381
629	9137	5366
630	9148	5349
631	9158	5332
632	9169	5316
633	9180	5299
634	9190	5282
635	9201	5266
636	9212	5249
637	9226	5235
638	9240	5220
639	9255	5206
640	9269	5191
641	9285	5177
642	9299	5163
643	9314	5149
644	9329	5134
645	9345	5121
646	9359	5106
647	9373	5091
648	9385	5076
649	9396	5059
650	9407	5043
651	9417	5026
652	9428	5010
653	9439	4993
654	9449	4977
655	9460	4960
656	9470	4944
657	9480	4927
658	9491	4911
659	9501	4894
660	9511	4878
661	9522	4862
662	9534	4846
663	9549	4832
664	9564	4818
665	9579	4804
666	9593	4789
667	9610	4776
668	9631	4765
669	9648	4752
670	9663	4738
671	9677	4723
672	9693	4710
673	9707	4695
674	9718	4679
675	9733	4665
676	9746	4650
677	9767	4638
678	9787	4627
679	9807	4615
680	9833	4606
681	9854	4594
682	9870	4580
683	9882	4565
684	9893	4549
685	9905	4533
686	9915	4517
687	9925	4501
688	9937	4485
689	9948	4469
690	9961	4454
691	9972	4438
692	9983	4422
693	9993	4406
694	10004	4390
695	10015	4374
696	10025	4358
697	10036	4342
698	10048	4327
699	10058	4310
700	10069	4295
701	10080	4279
702	10090	4263
703	10101	4247
704	10113	4231
705	10123	4215
706	10134	4199
707	10145	4184
708	10155	4168
709	10165	4152
710	10176	4136
711	10186	4120
712	10197	4104
713	10208	4089
714	10218	4073
715	10229	4057
716	10239	4041
717	10250	4025
718	10260	4010
719	10270	3994
720	10281	3978
721	10293	3963
722	10307	3949
723	10321	3934
724	10335	3920
725	10350	3906
726	10368	3893
727	10386	3880
728	10401	3866
