iter	Logloss
0	0.6547895265
1	0.6182572293
2	0.5826860991
3	0.5520256918
4	0.5227286181
5	0.4954387022
6	0.4689531194
7	0.4445875275
8	0.4217077865
9	0.4008168778
10	0.3816055534
11	0.3631109078
12	0.3461331025
13	0.3298366661
14	0.3155519565
15	0.3013698494
16	0.2889042754
17	0.2764174956
18	0.2642244195
19	0.253544906
20	0.2435927736
21	0.2342539229
22	0.2257237011
23	0.2174976867
24	0.2103399614
25	0.2032723237
26	0.1966246565
27	0.1901346677
28	0.1840496886
29	0.1783646164
30	0.1734414035
31	0.1685284583
32	0.1636822098
33	0.1591281006
34	0.1550674252
35	0.1508784345
36	0.1476112657
37	0.1443198121
38	0.1410883631
39	0.1384057836
40	0.1354035889
41	0.1325070759
42	0.1298980092
43	0.1277573215
44	0.1251538543
45	0.1227293084
46	0.1208063285
47	0.118825256
48	0.1171374899
49	0.1156530171
50	0.1141805626
51	0.1127320329
52	0.1113227118
53	0.109938346
54	0.1082748152
55	0.1068574115
56	0.1052031924
57	0.1042391573
58	0.1033166834
59	0.1021358592
60	0.1012283586
61	0.1004065195
62	0.09968465087
63	0.09881915844
64	0.09812619339
65	0.09718194873
66	0.09638229631
67	0.09553511692
68	0.09476229464
69	0.09400715219
70	0.09319646229
71	0.09266622868
72	0.09190336372
73	0.09134724356
74	0.09077042656
75	0.09015342644
76	0.0896362851
77	0.08902855323
78	0.08861963258
79	0.0880224664
80	0.08757474696
81	0.08693006002
82	0.08657702205
83	0.0859416344
84	0.08553487407
85	0.08501184152
86	0.08462320798
87	0.08435961209
88	0.08398904327
89	0.08360672928
90	0.08332917824
91	0.08300078526
92	0.08262037707
93	0.08225933724
94	0.08182327606
95	0.08152850456
96	0.08122681757
97	0.08078312699
98	0.08057546344
99	0.0802311971
100	0.07996438556
101	0.07975333255
102	0.07938312378
103	0.07916020144
104	0.07892768183
105	0.07859784864
106	0.07832050867
107	0.0780959785
108	0.07788624775
109	0.07780292657
110	0.07761225378
111	0.07736847942
112	0.07708400047
113	0.07688696468
114	0.0766924803
115	0.07654272938
